Gene,Coassociation Frequency,New
FSTL4,0.943537770725,1
RP11-229M1.2,0.94352875408,1
CACNA1C,0.94352875408,0
AC105760.3,0.943492687501,1
BFSP1,0.94337547112,1
HERPUD2,0.943330387896,1
B3GAT3,0.943330387896,1
GNB2,0.943276288028,0
COX7A1,0.943258254738,1
RP11-467J12.4,0.943240221449,1
AC104794.4,0.943231204804,1
SCRN2,0.943159071646,1
RPL14,0.943113988423,1
RP4-751H13.5,0.942609056318,1
CCDC77,0.942509873226,1
SNORA70,0.942509873226,1
ESRRA,0.9423836402,1
EIF3G,0.942194290661,1
RPL37,0.942176257371,1
TCHP,0.942113140858,1
FAM214A,0.942086090924,1
TNFRSF19,0.941923791319,1
RP11-346D14.1,0.94188772474,1
EVI5,0.941653291977,1
DNAJC14,0.941382792635,1
AC008694.2,0.941121309938,1
PPIF,0.940922943754,1
BTF3P14,0.940832777307,1
RNA5SP452,0.940760644149,1
AC010731.6,0.94074261086,1
ANP32C,0.940688510991,1
RPL36P18,0.940652444412,1
GRM7-AS3,0.940643427768,1
CTA-398F10.2,0.940598344544,1
PDXP,0.940580311255,1
TRIM3,0.940463094873,1
LACTB2,0.940372928426,1
NPPC,0.940327845202,1
RP11-886P16.6,0.940282761979,1
PRR13P5,0.940255712044,1
GTPBP10,0.940183578887,1
RP1-140J1.4,0.940084395795,1
EFNA2,0.940021279282,1
STAB2,0.939867996321,1
MTCP1,0.939687663427,1
ABCD1,0.93923683119,0
RP11-258F1.2,0.939137648098,1
DLEU7-AS1,0.939092564875,1
CD244,0.939002398427,1
KLHDC8B,0.938975348493,1
XRCC1,0.938623699349,1
RP4-631H13.6,0.938290083494,1
ANK1,0.938199917047,0
LTK,0.938199917047,1
PTH,0.9381097506,1
CTD-2290C23.1,0.938100733955,1
RP11-521C20.5,0.938010567508,1
LINC00960,0.937956467639,1
RP11-325K19.2,0.93793843435,1
ANGPT2,0.93793843435,1
SUPT20H,0.937902367771,1
GPR137B,0.937740068166,1
EVC2,0.937704001587,0
GPM6B,0.937514652048,1
CTA-221G9.10,0.937451535535,1
RPL10P3,0.937072836456,1
TMEM240,0.936856436983,0
SCARNA8,0.936721187312,1
RP11-49O14.2,0.936667087443,1
AC092839.4,0.936567904351,1
NUCB2,0.936441671325,1
RPL23AP2,0.936342488233,1
COX6B1P4,0.936324454944,1
LINC00633,0.93578345626,1
RP11-798K23.5,0.935684273168,1
FTX,0.9356301733,1
AC110926.4,0.935233440932,1
ATG16L2,0.93513425784,1
UHMK1,0.935116224551,1
NEK2P4,0.935044091393,1
RELA,0.935026058103,1
GIN1,0.935017041459,1
VGLL4,0.934953924945,1
RP11-375A5.1,0.934737525472,1
AL358852.1,0.934719492183,1
RP11-435O5.5,0.934692442248,1
CAP1P2,0.934692442248,1
CIPC,0.934394892972,1
RIC1,0.934385876328,0
MTATP6P27,0.934232593367,1
RNF26,0.934223576723,1
RP11-236P24.3,0.934196526788,1
RNU6-1016P,0.933962094026,1
RP11-173M1.5,0.933944060736,1
PODNL1,0.933889960868,1
CHKB-AS1,0.933844877644,1
RP11-411B10.2,0.933736677907,1
C2orf27A,0.933736677907,1
PNISR,0.93366454475,1
ACTR3P2,0.933583394947,1
BHLHE23,0.933511261789,1
C19orf48,0.933412078697,1
SARS2,0.933312895605,1
RPL17P43,0.933132562711,1
CTB-118N6.2,0.933015346329,1
RP11-603J24.5,0.932807963501,1
RP5-866L20.2,0.932744846988,1
SUPT7L,0.932726813698,1
RP11-351J23.1,0.932708780409,1
RPL21P8,0.932708780409,1
LINC01539,0.932681730474,1
ZSCAN9,0.932636647251,1
GPR142,0.932618613961,1
FAM172A,0.932609597317,1
TMEM126A,0.932573530738,1
PRR19,0.932555497448,1
KCNN4,0.932266964817,1
KLHL5,0.932248931528,1
RP11-53I6.1,0.932239914883,1
RP1-146A15.1,0.932194831659,1
STARD9,0.931906299028,1
HIST1H1E,0.931825149225,1
RP3-471M13.2,0.931707932844,1
RALY,0.931347267055,1
RP11-680F20.10,0.931275133897,1
HDX,0.931239067318,1
RCAN3,0.931067751068,1
DNAH6,0.931067751068,1
RP11-411G7.2,0.931004634555,1
USP41,0.930589868898,1
PHTF2,0.930463635872,1
PGF,0.930427569293,1
ZNF586,0.930238219754,1
RPS2P2,0.930030836925,1
RP11-74D3.2,0.930012803636,1
IPO7P2,0.929967720412,1
RP11-359B20.1,0.929805420807,1
FZD2,0.929724271004,0
SCUBE3,0.929580004689,0
MRPS16P2,0.929408688439,1
PPP1R1A,0.929399671794,1
BTBD2,0.929381638505,1
RPL12P33,0.929273438768,1
RP11-1029M24.1,0.928858673111,1
MIR4752,0.928840639821,1
KCTD7,0.928813589887,0
RP11-113A11.1,0.928660306927,1
RACGAP1,0.928606207058,1
RP11-11C20.1,0.928146358177,1
ISM1,0.928065208375,1
DENND5B,0.927984058572,1
CARD14,0.927920942059,1
FAM231B,0.927920942059,1
ADORA2A,0.927803725678,1
Sep-04,0.927569292915,1
RP11-521P1.1,0.927443059889,1
RP11-94C24.11,0.927443059889,1
GDF5OS,0.927434043244,1
AC090774.2,0.927434043244,1
STMN3,0.927416009954,1
ZNF606,0.92740699331,1
FRG1KP,0.92738896002,1
MTCO1P42,0.927190593836,1
UBE2V1P2,0.927109444034,1
RP11-329N22.1,0.927100427389,1
RP11-796E10.1,0.927046327521,1
MIS12,0.927028294231,1
PLPPR1,0.92689304456,1
CATSPER3,0.926703695021,1
RP11-259O18.4,0.926694678376,1
CCNB1IP1P3,0.926604511929,1
